diseases,description
pulmonary eosinophilia,Pulmonary eosinophilia involves infiltration of eosinophils into the lungs; often due to parasitic infections; drugs; or idiopathic causes like eosinophilic pneumonia. Symptoms include cough; shortness of breath; fever; and wheezing. Chest X-ray shows infiltrates. Diagnosis includes blood eosinophil count and bronchoalveolar lavage. Treatment with corticosteroids and antiparasitics (if applicable) resolves symptoms; identifying and removing triggers prevents relapse.
corneal disorder,Corneal disorder encompasses conditions affecting the clear front layer of the eye; such as infections; dystrophies; abrasions; or keratoconus; leading to pain; redness; blurred vision; light sensitivity; or scarring. The cornea is vital for focusing light. Diagnosis uses slit-lamp exam. Treatment varies from antibiotic drops for infection to corneal transplant for advanced scarring; aiming to restore clarity and prevent vision loss.
foreign body in the gastrointestinal tract,Foreign body in the gastrointestinal tract refers to swallowed objects (coins; batteries; bones) that may lodge in the esophagus; stomach; or intestines; causing obstruction; perforation; or bleeding. Symptoms depend on location—drooling; pain; vomiting; or abdominal tenderness. Most pass spontaneously; sharp or battery objects require urgent endoscopic removal to prevent serious complications like fistula or peritonitis. Prevention in children involves supervision and safe toy storage.
endophthalmitis,Endophthalmitis is a severe intraocular infection; often post-surgical or from trauma; involving the vitreous and retina; causing rapid vision loss; pain; redness; and floaters. Bacterial or fungal. It is an ophthalmic emergency. Diagnosis by clinical exam and vitreous tap. Treatment requires intravitreal antibiotics/antifungals and often vitrectomy to clear infection and preserve vision; delay can result in blindness.
intestinal malabsorption,Intestinal malabsorption is impaired absorption of nutrients in the small intestine due to celiac disease; Crohn's; pancreatic insufficiency; or infections; leading to diarrhea; weight loss; bloating; fatigue; and deficiencies (vitamins; iron). Diagnosis involves blood tests; endoscopy; and biopsy. Treatment targets the cause (gluten-free diet for celiac; enzymes for pancreatic issues) plus nutritional supplements to correct deficiencies and restore normal weight and energy.
viral warts,Viral warts are benign skin growths caused by human papillomavirus (HPV); appearing as rough; raised lesions on hands; feet (plantar); or face. They are contagious via skin contact and can spread or persist for years. Treatment options include salicylic acid; cryotherapy; imiquimod cream; or laser; some resolve spontaneously with immune response. Prevention through HPV vaccination reduces certain types.
hyperhidrosis,Hyperhidrosis is excessive sweating beyond normal thermoregulation; affecting palms; soles; underarms; or face; causing social embarrassment; skin maceration; and infections. It can be primary (idiopathic) or secondary to medical conditions. Diagnosis is clinical. Treatment includes antiperspirants; iontophoresis; oral medications (glycopyrrolate); Botox injections; or endoscopic thoracic sympathectomy for severe refractory cases to improve quality of life.
stroke,Stroke is a medical emergency where blood flow to part of the brain is interrupted by clot (ischemic) or rupture (hemorrhagic); causing sudden numbness; weakness; confusion; vision loss; or severe headache. Rapid treatment with clot-busters or thrombectomy within hours can minimize brain damage. Risk factors include hypertension; smoking; and atrial fibrillation. Rehabilitation and secondary prevention with antiplatelets and lifestyle changes are critical for recovery and reducing recurrence.
pilonidal cyst,Pilonidal cyst is a chronic abscess or sinus in the natal cleft near the tailbone; often containing hair; causing pain; swelling; drainage; and recurrent infection; especially in young men. It results from hair penetration into skin. Treatment includes incision and drainage for acute abscess; or surgical excision for chronic cases to prevent recurrence. Good hygiene and hair removal help reduce risk.
crushing injury,Crushing injury occurs when a body part is compressed by heavy force; causing muscle damage; bleeding; and compartment syndrome. It can lead to rhabdomyolysis; kidney failure from myoglobin release; and shock. Immediate care involves fluid resuscitation; pain control; and fasciotomy if needed. Long-term complications include contractures and nerve damage requiring physical therapy.
normal pressure hydrocephalus,Normal pressure hydrocephalus is a condition in older adults with enlarged brain ventricles and normal CSF pressure; causing the classic triad of gait disturbance; urinary incontinence; and dementia. It is potentially reversible with ventriculoperitoneal shunting. Diagnosis uses MRI; lumbar puncture trial; and gait analysis. Early intervention improves mobility and cognition; untreated leads to progressive disability.
alopecia,Alopecia refers to hair loss from any cause; including autoimmune (areata); androgenetic (male/female pattern); or scarring types. It can be patchy or diffuse; affecting scalp or body. Psychological impact is significant. Diagnosis by exam and biopsy if needed. Treatments include minoxidil; corticosteroids; JAK inhibitors; or hair transplant depending on type to promote regrowth or camouflage.
hashimoto thyroiditis,Hashimoto thyroiditis is an autoimmune disease where the immune system attacks the thyroid gland; leading to hypothyroidism with symptoms of fatigue; weight gain; cold intolerance; constipation; and dry skin. It is the most common cause of hypothyroidism and more prevalent in women. Diagnosis by elevated TSH and anti-TPO antibodies. Lifelong levothyroxine replacement normalizes hormone levels and prevents complications like goiter or heart issues.
flat feet,Flat feet (pes planus) is a condition where the arches of the feet collapse; causing the entire sole to touch the ground. It can be congenital or acquired from injury or obesity; leading to foot pain; fatigue; and ankle problems. Many are asymptomatic. Treatment includes supportive shoes; orthotics; stretching; and rarely surgery to reconstruct the arch and relieve pain.
nonalcoholic liver disease (nash),Nonalcoholic steatohepatitis (NASH) is the inflammatory form of fatty liver disease not caused by alcohol; progressing from simple steatosis to fibrosis and cirrhosis. Linked to obesity; diabetes; and metabolic syndrome. Often asymptomatic until advanced; then fatigue; right upper pain; or jaundice. Diagnosis by biopsy or non-invasive tests. Management emphasizes weight loss; exercise; and medications like vitamin E or pioglitazone; advanced cases may need transplant.
hemarthrosis,Hemarthrosis is bleeding into a joint space; often from trauma; hemophilia; or anticoagulation; causing sudden swelling; pain; warmth; and limited motion. Repeated episodes lead to joint destruction and arthritis. Diagnosis by aspiration or imaging. Treatment includes rest; ice; factor replacement in bleeding disorders; and aspiration to relieve pressure and prevent chronic damage.
pelvic organ prolapse,Pelvic organ prolapse occurs when pelvic floor muscles weaken; allowing the bladder; uterus; or rectum to descend into the vagina; causing bulging; pressure; urinary incontinence; or bowel issues; common after childbirth or menopause. Diagnosis by pelvic exam. Treatment ranges from pelvic floor exercises and pessary to surgical repair to restore support and improve symptoms.
fracture of the arm,Fracture of the arm involves break in the humerus; radius; or ulna from falls or trauma; presenting with pain; deformity; swelling; and inability to move. Open fractures risk infection. Diagnosis by X-ray. Treatment includes closed reduction and casting or surgical fixation with plates/rods; followed by physical therapy to regain strength and prevent stiffness.
coagulation (bleeding) disorder,Coagulation (bleeding) disorder includes conditions like hemophilia or von Willebrand disease where clotting factors are deficient; leading to prolonged bleeding after injury; easy bruising; or spontaneous joint/muscle bleeds. Diagnosis by coagulation tests. Management with factor concentrates; desmopressin; or antifibrinolytics prevents life-threatening hemorrhage and joint damage.
intracranial hemorrhage,Intracranial hemorrhage is bleeding within the skull; including subdural; epidural; or intracerebral; often from trauma; hypertension; or aneurysm rupture. It causes sudden severe headache; neurological deficits; seizures; or coma. Diagnosis by urgent CT. Treatment involves blood pressure control; reversal of anticoagulants; and neurosurgical evacuation to reduce pressure and prevent herniation.
hyperkalemia,Hyperkalemia is elevated blood potassium level; often from kidney failure; medications; or tissue breakdown; causing muscle weakness; arrhythmias; or cardiac arrest. Diagnosis by serum potassium and ECG changes. Urgent treatment with calcium gluconate for heart protection; insulin-glucose to shift potassium; and kayexalate or dialysis for removal prevents fatal complications.
cornea infection,Cornea infection (keratitis) is inflammation usually from bacteria; viruses; or fungi after trauma or contact lens overuse; causing pain; redness; tearing; blurred vision; and light sensitivity. It can lead to scarring and vision loss. Diagnosis by slit-lamp and culture. Treatment with fortified antibiotic drops or antivirals; plus cycloplegics; is aggressive to preserve corneal clarity.
abscess of the lung,Abscess of the lung is a pus-filled cavity from bacterial infection; often after pneumonia or aspiration; causing fever; productive cough with foul sputum; chest pain; and weight loss. Diagnosis by chest CT. Treatment requires prolonged antibiotics and drainage (percutaneous or bronchoscopic) to resolve infection and prevent complications like empyema.
dengue fever,Dengue fever is a mosquito-borne viral illness causing high fever; severe headache; eye pain; joint/muscle pain; and rash. Severe dengue (dengue hemorrhagic fever) involves plasma leakage; bleeding; and shock. No specific antiviral; supportive care with fluids and acetaminophen (avoid aspirin) is key. Prevention focuses on mosquito control and vaccination in endemic areas.
chronic sinusitis,Chronic sinusitis is inflammation of the sinuses lasting over 12 weeks; causing nasal congestion; facial pressure; reduced smell; and post-nasal drip. It may involve polyps or fungal elements. Diagnosis by endoscopy or CT. Treatment includes nasal corticosteroids; saline irrigation; antibiotics for bacterial flares; and endoscopic surgery for refractory cases to improve drainage and quality of life.
cholesteatoma,Cholesteatoma is a skin growth in the middle ear from chronic infection or eustachian tube dysfunction; eroding bone and causing hearing loss; dizziness; and facial nerve damage if untreated. Diagnosis by otoscopy. Surgical removal is required to prevent intracranial complications like meningitis.
volvulus,Volvulus is twisting of the intestine (usually sigmoid or midgut in infants) causing obstruction and potential ischemia. Symptoms include sudden severe pain; vomiting; and distension. Diagnosis by X-ray or CT. Emergency surgery to untwist or resect dead bowel is lifesaving; delay leads to perforation and peritonitis.
injury to the finger,Injury to the finger includes fractures; dislocations; tendon lacerations; or nail bed damage from crushing or cuts; leading to pain; deformity; and loss of function. Prompt X-ray and specialist care prevent malunion or stiffness. Treatment may involve splinting; surgery; or therapy for full recovery.
atrial fibrillation,Atrial fibrillation is an irregular; often rapid heart rhythm originating in the atria; increasing stroke risk from clot formation. Symptoms include palpitations; fatigue; and shortness of breath. Diagnosis by ECG. Treatment with rate control (beta-blockers); rhythm control; and anticoagulation (DOACs) reduces complications and improves quality of life.
pinworm infection,Pinworm infection (enterobiasis) is a common intestinal parasitic infection causing intense perianal itching; especially at night; from female worms laying eggs. Highly contagious in households. Diagnosis by tape test. Treatment with mebendazole or albendazole for the patient and family; plus hygiene measures like handwashing and laundering bedding; eradicates the infection.
urethral valves,Urethral valves are congenital folds in the male urethra obstructing urine flow; causing bladder distension; hydronephrosis; and kidney damage if untreated. Diagnosis prenatally or by voiding cystourethrogram. Endoscopic ablation relieves obstruction and preserves renal function.
open wound of the neck,Open wound of the neck from trauma risks major vessel or airway injury; causing bleeding; swelling; or breathing difficulty. Immediate control of hemorrhage and surgical exploration if deep is required to prevent exsanguination or infection.
achalasia,Achalasia is a motility disorder where the esophagus fails to relax and propel food; causing dysphagia; regurgitation; chest pain; and weight loss. Diagnosis by barium swallow and manometry. Treatment with pneumatic dilation; Heller myotomy; or Botox provides symptom relief by improving esophageal emptying.
conductive hearing loss,Conductive hearing loss occurs when sound waves are not properly conducted through the outer or middle ear due to wax; infection; otosclerosis; or trauma; leading to reduced hearing volume. Diagnosis by audiometry. Treatment with cerumen removal; antibiotics; or surgery restores hearing in most cases.
abdominal hernia,Abdominal hernia is protrusion of intestine or fat through a weak spot in the abdominal wall (inguinal; umbilical; incisional); causing a bulge; pain; or obstruction. Surgical repair prevents incarceration or strangulation.
cerebral palsy,Cerebral palsy is a group of permanent movement disorders from non-progressive brain damage before or during birth; causing spasticity; weakness; or ataxia. Multidisciplinary therapy; medications; and surgery improve mobility and independence.
marijuana abuse,Marijuana abuse involves problematic use leading to dependence; cognitive impairment; or exacerbation of mental health issues. Counseling and support programs aid cessation.
cryptococcosis,Cryptococcosis is a fungal infection from Cryptococcus; primarily affecting lungs or brain in immunocompromised patients; causing meningitis-like symptoms. Antifungal therapy (amphotericin then fluconazole) is prolonged.
obesity,Obesity is excessive body fat (BMI ≥30) increasing risks of diabetes; heart disease; and joint problems. Lifestyle; medications (semaglutide); or bariatric surgery promote sustainable weight loss.
indigestion,Indigestion (dyspepsia) causes upper abdominal discomfort; bloating; or nausea from overeating; GERD; or ulcers. Antacids; PPIs; and dietary changes relieve symptoms.
bursitis,Bursitis is inflammation of a bursa sac from overuse or trauma; causing localized pain and swelling. Rest; ice; NSAIDs; and aspiration provide relief.
esophageal cancer,Esophageal cancer often presents late with dysphagia and weight loss; treatment combines chemotherapy; radiation; and surgery.
pulmonary congestion,Pulmonary congestion from heart failure causes fluid backup in lungs; leading to shortness of breath. Diuretics and heart failure therapy improve breathing.
juvenile rheumatoid arthritis,Juvenile rheumatoid arthritis causes joint inflammation in children; managed with NSAIDs; methotrexate; and biologics to prevent deformity.
actinic keratosis,Actinic keratosis are precancerous skin lesions from sun exposure; cryotherapy or topical 5-FU prevents progression to squamous cell carcinoma.
acute otitis media,Acute otitis media is middle ear infection causing ear pain and fever; antibiotics are used judiciously while most resolve with supportive care.
astigmatism,Astigmatism is irregular corneal curvature causing blurred vision at all distances; corrective lenses or surgery improve focus.
tuberous sclerosis,Tuberous sclerosis is a genetic disorder causing benign tumors in brain; skin; and organs; mTOR inhibitors and antiepileptics control seizures.
empyema,Empyema is pus in the pleural space from pneumonia; drainage and antibiotics are required.
presbyacusis,Presbyacusis is age-related sensorineural hearing loss; hearing aids improve communication.
neonatal jaundice,Neonatal jaundice from elevated bilirubin is common and treated with phototherapy to prevent kernicterus.
chronic obstructive pulmonary disease (copd),COPD from smoking causes irreversible airflow limitation; bronchodilators; steroids; and oxygen therapy manage symptoms.
dislocation of the elbow,Dislocation of the elbow requires prompt reduction and immobilization to restore function.
spondylosis,Spondylosis is degenerative spine changes causing neck or back pain; conservative therapy with PT and medications is first-line.
herpangina,Herpangina is a viral illness with mouth ulcers and fever in children; supportive care suffices.
injury to the shoulder,Injury to the shoulder ranges from rotator cuff tears to dislocations; imaging guides physical therapy or surgery.
poisoning due to antidepressants,Poisoning due to antidepressants requires supportive care and specific antidotes like sodium bicarbonate for TCA overdose.
infection of open wound,Infection of open wound presents with pus and redness; antibiotics and debridement prevent spread.
deep vein thrombosis (dvt),Deep vein thrombosis (DVT) is a clot in a deep vein; anticoagulants prevent pulmonary embolism.
protein deficiency,Protein deficiency causes edema; muscle wasting; and impaired immunity; dietary supplementation corrects it.
myoclonus,Myoclonus is sudden muscle jerks; antiepileptics or clonazepam control symptoms.
bone spur of the calcaneous,Bone spur of the calcaneous (heel spur) causes heel pain; orthotics and stretching relieve pressure.
von willebrand disease,Von Willebrand disease impairs platelet function and clotting; desmopressin or factor replacement manages bleeding.
open wound of the back,Open wound of the back requires cleaning; antibiotics if infected; and monitoring for spinal involvement.
heart block,Heart block disrupts electrical conduction; pacemaker is often needed for symptomatic cases.
colonic polyp,Colonic polyp is a growth in the colon; removal during colonoscopy prevents cancer.
magnesium deficiency,Magnesium deficiency causes muscle cramps and arrhythmias; oral or IV replacement restores levels.
female infertility of unknown cause,Female infertility of unknown cause is evaluated with ovulation induction using clomiphene or letrozole.
pericarditis,Pericarditis is inflammation of the pericardium causing chest pain; NSAIDs and colchicine treat it.
attention deficit hyperactivity disorder (adhd),Attention deficit hyperactivity disorder (ADHD) impairs focus and impulse control; stimulants or behavioral therapy help.
pulmonic valve disease,Pulmonic valve disease may require valve replacement if severe.
tietze syndrome,Tietze syndrome causes costochondral swelling and pain; NSAIDs and local injection relieve symptoms.
cranial nerve palsy,Cranial nerve palsy causes facial weakness or double vision; steroids or treatment of underlying cause is used.
injury to the arm,Injury to the arm is managed with immobilization and rehabilitation.
conversion disorder,Conversion disorder presents with neurological symptoms without organic cause; psychotherapy is primary treatment.
complex regional pain syndrome,Complex regional pain syndrome involves chronic pain after injury; gabapentinoids and physical therapy manage it.
otosclerosis,Otosclerosis causes conductive hearing loss; stapedectomy improves hearing.
injury to the trunk,Injury to the trunk requires evaluation for internal organ damage.
hypothyroidism,Hypothyroidism from thyroid underactivity is treated with levothyroxine.
primary insomnia,Primary insomnia is difficulty sleeping without medical cause; CBT-I and short-term hypnotics help.
lice,Lice infestation is treated with permethrin or oral ivermectin plus environmental cleaning.
vitamin b12 deficiency,Vitamin B12 deficiency causes anemia and neuropathy; injections or oral supplements correct it.
diabetes,Diabetes involves high blood sugar; metformin; insulin; and lifestyle changes control it.
vulvodynia,Vulvodynia is chronic vulvar pain; topical lidocaine or antidepressants provide relief.
endometriosis,Endometriosis causes pelvic pain and infertility; hormonal therapy or surgery reduces lesions.
vasculitis,Vasculitis is inflammation of blood vessels; immunosuppressants control it.
concussion,Concussion is mild traumatic brain injury; rest and gradual return to activity are recommended.
oral leukoplakia,Oral leukoplakia is a white patch that may be precancerous; biopsy and removal are advised.
chronic kidney disease,Chronic kidney disease progresses to failure; ACE inhibitors and diet slow decline.
bladder disorder,Bladder disorder includes overactive bladder; anticholinergics like oxybutynin treat urgency.
chorioretinitis,Chorioretinitis is retinal inflammation; often from toxoplasmosis; antimicrobials and steroids are used.
priapism,Priapism is prolonged erection; aspiration or medications detumescence the penis.
myositis,Myositis is muscle inflammation; steroids and immunosuppressants treat it.
mononucleosis,Mononucleosis from EBV causes fatigue and sore throat; supportive care is sufficient.
neuralgia,Neuralgia is nerve pain; gabapentin or carbamazepine relieves it.
polycystic kidney disease,Polycystic kidney disease causes cysts and hypertension; tolvaptan slows progression.
bipolar disorder,Bipolar disorder involves mood swings; mood stabilizers like lithium manage episodes.
amyloidosis,Amyloidosis involves protein deposits; chemotherapy or supportive care depending on type.
chronic inflammatory demyelinating polyneuropathy (cidp),Chronic inflammatory demyelinating polyneuropathy (CIDP) causes weakness; IVIG or steroids treat it.
gastroesophageal reflux disease (gerd),Gastroesophageal reflux disease (GERD) causes heartburn; PPIs and lifestyle changes control it.
vitreous hemorrhage,Vitreous hemorrhage causes sudden vision loss; underlying cause (diabetes) is treated; often with vitrectomy.
poisoning due to antimicrobial drugs,Poisoning due to antimicrobial drugs requires supportive care and discontinuation.
open wound of the mouth,Open wound of the mouth heals with oral hygiene and antibiotics if infected.
scleroderma,Scleroderma causes skin thickening and organ involvement; immunosuppressants manage symptoms.
myasthenia gravis,Myasthenia gravis causes muscle weakness; pyridostigmine and immunosuppressants improve strength.
hypoglycemia,Hypoglycemia is low blood sugar; glucose or glucagon reverses it.
idiopathic absence of menstruation,Idiopathic absence of menstruation (amenorrhea) is evaluated with hormonal therapy.
dislocation of the ankle,Dislocation of the ankle requires reduction and stabilization.
carbon monoxide poisoning,Carbon monoxide poisoning causes headache and confusion; 100% oxygen is the antidote.
panic attack,Panic attack is sudden intense fear; benzodiazepines or breathing techniques abort it.
plantar fasciitis,Plantar fasciitis causes heel pain; stretching; orthotics; and night splints relieve it.
hyperopia,Hyperopia (farsightedness) is corrected with glasses.
poisoning due to sedatives,Poisoning due to sedatives may require flumazenil for benzodiazepines.
pemphigus,Pemphigus is autoimmune blistering; steroids and rituximab control it.
peyronie disease,Peyronie disease causes penile curvature; collagenase injections or surgery straighten it.
hiatal hernia,Hiatal hernia causes reflux; PPIs or surgery if severe.
extrapyramidal effect of drugs,Extrapyramidal effect of drugs (dystonia) is treated with benztropine.
meniere disease,Meniere disease causes vertigo and hearing loss; diuretics and low-salt diet help.
anal fissure,Anal fissure causes painful defecation; nitroglycerin ointment heals it.
allergy,Allergy triggers histamine release; antihistamines and avoidance prevent symptoms.
chronic otitis media,Chronic otitis media involves persistent ear infection; tympanostomy tubes may be needed.
fracture of the finger,Fracture of the finger is immobilized or surgically fixed.
hirschsprung disease,Hirschsprung disease causes constipation from missing nerve cells; surgery removes affected bowel.
polymyalgia rheumatica,Polymyalgia rheumatica causes shoulder/hip stiffness; low-dose prednisone is effective.
lymphedema,Lymphedema causes swelling; compression and manual drainage manage it.
bladder cancer,Bladder cancer is treated with BCG immunotherapy or chemotherapy.
acute bronchospasm,Acute bronchospasm is relieved by albuterol and steroids.
acute glaucoma,Acute glaucoma is an emergency treated with eye drops and laser.
open wound of the chest,Open wound of the chest requires sterile dressing and monitoring for pneumothorax.
dislocation of the patella,Dislocation of the patella is reduced and braced.
sciatica,Sciatica is nerve pain from spinal compression; NSAIDs and PT help.
hypercalcemia,Hypercalcemia is treated with hydration and bisphosphonates.
stress incontinence,Stress incontinence is managed with pelvic exercises or duloxetine.
varicose veins,Varicose veins cause leg discomfort; compression or ablation treats them.
benign kidney cyst,Benign kidney cyst is monitored or aspirated if symptomatic.
hydrocele of the testicle,Hydrocele of the testicle is fluid collection; surgery drains it if large.
degenerative disc disease,Degenerative disc disease causes back pain; conservative therapy is first-line.
hirsutism,Hirsutism is excess hair; oral contraceptives or spironolactone reduce it.
dislocation of the foot,Dislocation of the foot requires reduction.
hydronephrosis,Hydronephrosis from obstruction is relieved by stent or surgery.
diverticulosis,Diverticulosis is managed with high-fiber diet.
pain after an operation,Pain after an operation is controlled with multimodal analgesia.
huntington disease,Huntington disease is genetic; tetrabenazine reduces chorea.
lymphoma,Lymphoma is treated with chemotherapy regimens like R-CHOP.
dermatitis due to sun exposure,Dermatitis due to sun exposure is treated with topical steroids.
anemia due to chronic kidney disease,Anemia due to chronic kidney disease is corrected with erythropoietin.
injury to internal organ,Injury to internal organ requires imaging and possible surgery.
scleritis,Scleritis is eye inflammation; steroids treat it.
pterygium,Pterygium is conjunctival growth; surgery removes it if vision affected.
fungal infection of the skin,Fungal infection of the skin is treated with topical antifungals.
insulin overdose,Insulin overdose causes hypoglycemia; glucose is given.
syndrome of inappropriate secretion of adh (siadh),Syndrome of inappropriate secretion of ADH (SIADH) causes hyponatremia; fluid restriction or tolvaptan corrects it.
foreign body in the ear,Foreign body in the ear is removed carefully.
premenstrual tension syndrome,Premenstrual tension syndrome is managed with SSRIs or OCPs.
orbital cellulitis,Orbital cellulitis is an emergency requiring IV antibiotics.
injury to the leg,Injury to the leg is splinted and rehabilitated.
hepatic encephalopathy,Hepatic encephalopathy is treated with lactulose.
bone cancer,Bone cancer requires chemotherapy and surgery.
syringomyelia,Syringomyelia involves spinal cord cyst; surgery drains it.
pulmonary fibrosis,Pulmonary fibrosis causes scarring; antifibrotics like nintedanib slow progression.
mitral valve disease,Mitral valve disease may need valve repair or replacement.
parkinson disease,Parkinson disease causes tremor and rigidity; levodopa is mainstay.
gout,Gout causes acute joint pain; colchicine and allopurinol prevent attacks.
otitis media,Otitis media is middle ear infection; antibiotics if bacterial.
drug abuse (opioids),Drug abuse (opioids) is treated with buprenorphine or methadone.
myelodysplastic syndrome,Myelodysplastic syndrome causes anemia; supportive transfusions or azacitidine.
fracture of the shoulder,Fracture of the shoulder is managed with sling or surgery.
acute kidney injury,Acute kidney injury requires fluids and cause-specific treatment.
threatened pregnancy,Threatened pregnancy is monitored with progesterone support if indicated.
intracranial abscess,Intracranial abscess needs surgical drainage and antibiotics.
gum disease,Gum disease (periodontitis) is treated with scaling and antibiotics.
open wound from surgical incision,Open wound from surgical incision is monitored for infection.
gastrointestinal hemorrhage,Gastrointestinal hemorrhage is managed with PPI and endoscopy.
seborrheic dermatitis,Seborrheic dermatitis is treated with antifungal shampoo.
drug abuse (methamphetamine),Drug abuse (methamphetamine) requires supportive counseling.
torticollis,Torticollis causes neck spasm; Botox injections help.
poisoning due to antihypertensives,Poisoning due to antihypertensives is treated supportively.
tension headache,Tension headache is relieved by NSAIDs and stress reduction.
alcohol intoxication,Alcohol intoxication requires supportive care and thiamine.
scurvy,Scurvy from vitamin C deficiency causes bleeding gums; ascorbic acid cures it.
narcolepsy,Narcolepsy causes daytime sleepiness; modafinil treats it.
food allergy,Food allergy is managed with avoidance and epinephrine.
labyrinthitis,Labyrinthitis causes vertigo; meclizine provides symptomatic relief.
anxiety,Anxiety is treated with SSRIs and CBT.
impulse control disorder,Impulse control disorder benefits from SSRIs.
stenosis of the tear duct,Stenosis of the tear duct causes tearing; surgery opens it.
abscess of nose,Abscess of nose requires drainage.
omphalitis,Omphalitis in newborns needs antibiotics.
leukemia,Leukemia is treated with chemotherapy.
bell palsy,Bell palsy causes facial paralysis; prednisone and antivirals speed recovery.
conjunctivitis due to allergy,Conjunctivitis due to allergy is treated with antihistamine drops.
drug reaction,Drug reaction may require antihistamines or steroids.
adrenal cancer,Adrenal cancer is managed with surgery and mitotane.
myopia,Myopia (nearsightedness) is corrected with lenses.
osteoarthritis,Osteoarthritis causes joint pain; acetaminophen and exercise help.
thyroid disease,Thyroid disease is managed with hormone replacement or antithyroid drugs.
pharyngitis,Pharyngitis is often viral; antibiotics only if strep.
chronic rheumatic fever,Chronic rheumatic fever requires penicillin prophylaxis.
hypocalcemia,Hypocalcemia is corrected with calcium and vitamin D.
macular degeneration,Macular degeneration causes central vision loss; anti-VEGF injections treat wet type.
pneumonia,Pneumonia is lung infection; antibiotics target the organism.
cold sore,Cold sore from HSV is treated with acyclovir.
premature ventricular contractions (pvcs),Premature ventricular contractions (PVCs) are managed with beta-blockers if symptomatic.
testicular cancer,Testicular cancer is highly curable with surgery and chemotherapy.
hydrocephalus,Hydrocephalus requires shunt placement.
breast cancer,Breast cancer is treated with surgery; chemo; and hormonal therapy.
anemia due to malignancy,Anemia due to malignancy is managed with erythropoietin or transfusion.
esophageal varices,Esophageal varices are treated with banding and beta-blockers.
endometrial cancer,Endometrial cancer is managed with hysterectomy and chemo.
cystic fibrosis,Cystic fibrosis requires enzymes; antibiotics; and CFTR modulators.
intertrigo (skin condition),Intertrigo (skin condition) is treated with antifungals and barrier creams.
parathyroid adenoma,Parathyroid adenoma causes hypercalcemia; surgery removes it.
glucocorticoid deficiency,Glucocorticoid deficiency requires hydrocortisone replacement.
temporomandibular joint disorder,Temporomandibular joint disorder causes jaw pain; NSAIDs and splints help.
wilson disease,Wilson disease causes copper accumulation; chelators like penicillamine treat it.
vesicoureteral reflux,Vesicoureteral reflux is managed with prophylactic antibiotics or surgery.
vitamin a deficiency,Vitamin A deficiency causes night blindness; supplements correct it.
gonorrhea,Gonorrhea is treated with ceftriaxone plus azithromycin.
fracture of the rib,Fracture of the rib is managed with pain control and breathing exercises.
ependymoma,Ependymoma is a brain tumor treated with surgery and radiation.
hepatitis due to a toxin,Hepatitis due to a toxin (e.g.; acetaminophen) is treated with N-acetylcysteine.
vaginal cyst,Vaginal cyst is excised if symptomatic.
open wound of the shoulder,Open wound of the shoulder is cleaned and sutured.
ectopic pregnancy,Ectopic pregnancy is treated with methotrexate or surgery.
chronic knee pain,Chronic knee pain benefits from physical therapy and analgesics.
pinguecula,Pinguecula is a conjunctival growth; artificial tears suffice unless inflamed.
hypergammaglobulinemia,Hypergammaglobulinemia is managed by treating underlying cause.
alcohol abuse,Alcohol abuse is treated with counseling and medications like naltrexone.
carpal tunnel syndrome,Carpal tunnel syndrome causes hand numbness; splinting or surgery relieves pressure.
pituitary disorder,Pituitary disorder requires hormone replacement as needed.
kidney stone,Kidney stone passes with tamsulosin and hydration or is removed.
autism,Autism is managed with behavioral therapy; risperidone for irritability.
cat scratch disease,Cat scratch disease is treated with azithromycin if severe.
chronic glaucoma,Chronic glaucoma is controlled with eye drops to lower pressure.
retinal detachment,Retinal detachment requires urgent surgery.
aplastic anemia,Aplastic anemia is treated with immunosuppression or stem cell transplant.
overflow incontinence,Overflow incontinence is managed with catheterization or alpha-blockers.
hemolytic anemia,Hemolytic anemia is treated with steroids or splenectomy.
lateral epicondylitis (tennis elbow),Lateral epicondylitis (tennis elbow) is managed with rest and steroid injection.
open wound of the eye,Open wound of the eye requires specialist repair.
syphilis,Syphilis is cured with penicillin.
diabetic kidney disease,Diabetic kidney disease is slowed by ACE inhibitors and SGLT2 inhibitors.
nose disorder,Nose disorder (rhinitis) is treated with nasal steroids.
drug withdrawal,Drug withdrawal is managed symptomatically (e.g.; clonidine for opioids).
dental caries,Dental caries is treated with fillings.
hypercholesterolemia,Hypercholesterolemia is treated with statins.
fracture of the patella,Fracture of the patella may require surgical fixation.
kidney failure,Kidney failure requires dialysis or transplant.
fracture of the neck,Fracture of the neck is immobilized urgently.
muscle spasm,Muscle spasm is relieved by cyclobenzaprine.
hemophilia,Hemophilia requires factor replacement.
hyperosmotic hyperketotic state,Hyperosmotic hyperketotic state (HHS) is treated with fluids and insulin.
peritonsillar abscess,Peritonsillar abscess requires drainage and antibiotics.
gastroparesis,Gastroparesis is managed with metoclopramide and small meals.
itching of unknown cause,Itching of unknown cause is treated with antihistamines.
polycythemia vera,Polycythemia vera is managed with hydroxyurea and phlebotomy.
thrombocytopenia,Thrombocytopenia is treated with steroids or IVIG.
head and neck cancer,Head and neck cancer is treated with chemoradiation.
pseudohypoparathyroidism,Pseudohypoparathyroidism requires calcium and vitamin D.
goiter,Goiter is managed with levothyroxine or surgery.
urge incontinence,Urge incontinence is treated with anticholinergics.
edward syndrome,Edward syndrome is a chromosomal disorder with supportive care only.
